type,filename,text
distcomplete-tp,distcomplete-tp-charlie-mackenzie-gave-9-bug.mp3,Look! Charlie gave Mackenzie nine bugs!
trialstart-tp,trialstart-tp-charlie-casey-candy.mp3,Here are Charlie and Casey! Charlie's backpack has 10 candies inside and Casey has none!
distprompt-tp,distprompt-tp-charlie-casey-candy.mp3,Let's see how many candies Charlie gives to Casey!
trialstart-tp,trialstart-tp-charlie-casey-bug.mp3,Here are Charlie and Casey! Charlie's backpack has 10 bugs inside and Casey has none!
distprompt-tp,distprompt-tp-charlie-casey-bug.mp3,Let's see how many bugs Charlie gives to Casey!
distcomplete-tp,distcomplete-tp-charlie-casey-gave-1-candy.mp3,Look! Charlie gave Casey one candy!
distcomplete-tp,distcomplete-tp-charlie-casey-gave-1-bug.mp3,Look! Charlie gave Casey one bug!
distcomplete-tp,distcomplete-tp-charlie-casey-gave-5-candy.mp3,Look! Charlie gave Casey five candies!
distcomplete-tp,distcomplete-tp-charlie-casey-gave-5-bug.mp3,Look! Charlie gave Casey five bugs!
distcomplete-tp,distcomplete-tp-charlie-casey-gave-9-candy.mp3,Look! Charlie gave Casey nine candies!
distcomplete-tp,distcomplete-tp-charlie-casey-gave-9-bug.mp3,Look! Charlie gave Casey nine bugs!
trialstart-tp,trialstart-tp-charlie-shawn-candy.mp3,Here are Charlie and Shawn! Charlie's backpack has 10 candies inside and Shawn has none!
distprompt-tp,distprompt-tp-charlie-shawn-candy.mp3,Let's see how many candies Charlie gives to Shawn!
trialstart-tp,trialstart-tp-charlie-shawn-bug.mp3,Here are Charlie and Shawn! Charlie's backpack has 10 bugs inside and Shawn has none!
distprompt-tp,distprompt-tp-charlie-shawn-bug.mp3,Let's see how many bugs Charlie gives to Shawn!
distcomplete-tp,distcomplete-tp-charlie-shawn-gave-1-candy.mp3,Look! Charlie gave Shawn one candy!
distcomplete-tp,distcomplete-tp-charlie-shawn-gave-1-bug.mp3,Look! Charlie gave Shawn one bug!
distcomplete-tp,distcomplete-tp-charlie-shawn-gave-5-candy.mp3,Look! Charlie gave Shawn five candies!
distcomplete-tp,distcomplete-tp-charlie-shawn-gave-5-bug.mp3,Look! Charlie gave Shawn five bugs!
distcomplete-tp,distcomplete-tp-charlie-shawn-gave-9-candy.mp3,Look! Charlie gave Shawn nine candies!
distcomplete-tp,distcomplete-tp-charlie-shawn-gave-9-bug.mp3,Look! Charlie gave Shawn nine bugs!
trialstart-tp,trialstart-tp-charlie-drew-candy.mp3,Here are Charlie and Drew! Charlie's backpack has 10 candies inside and Drew has none!
distprompt-tp,distprompt-tp-charlie-drew-candy.mp3,Let's see how many candies Charlie gives to Drew!
trialstart-tp,trialstart-tp-charlie-drew-bug.mp3,Here are Charlie and Drew! Charlie's backpack has 10 bugs inside and Drew has none!
distprompt-tp,distprompt-tp-charlie-drew-bug.mp3,Let's see how many bugs Charlie gives to Drew!
distcomplete-tp,distcomplete-tp-charlie-drew-gave-1-candy.mp3,Look! Charlie gave Drew one candy!
distcomplete-tp,distcomplete-tp-charlie-drew-gave-1-bug.mp3,Look! Charlie gave Drew one bug!
distcomplete-tp,distcomplete-tp-charlie-drew-gave-5-candy.mp3,Look! Charlie gave Drew five candies!
distcomplete-tp,distcomplete-tp-charlie-drew-gave-5-bug.mp3,Look! Charlie gave Drew five bugs!
distcomplete-tp,distcomplete-tp-charlie-drew-gave-9-candy.mp3,Look! Charlie gave Drew nine candies!
distcomplete-tp,distcomplete-tp-charlie-drew-gave-9-bug.mp3,Look! Charlie gave Drew nine bugs!
trialstart-tp,trialstart-tp-sam-jordan-candy.mp3,Here are Sam and Jordan! Sam's backpack has 10 candies inside and Jordan has none!
distprompt-tp,distprompt-tp-sam-jordan-candy.mp3,Let's see how many candies Sam gives to Jordan!
trialstart-tp,trialstart-tp-sam-jordan-bug.mp3,Here are Sam and Jordan! Sam's backpack has 10 bugs inside and Jordan has none!
distprompt-tp,distprompt-tp-sam-jordan-bug.mp3,Let's see how many bugs Sam gives to Jordan!
distcomplete-tp,distcomplete-tp-sam-jordan-gave-1-candy.mp3,Look! Sam gave Jordan one candy!
distcomplete-tp,distcomplete-tp-sam-jordan-gave-1-bug.mp3,Look! Sam gave Jordan one bug!
distcomplete-tp,distcomplete-tp-sam-jordan-gave-5-candy.mp3,Look! Sam gave Jordan five candies!
distcomplete-tp,distcomplete-tp-sam-jordan-gave-5-bug.mp3,Look! Sam gave Jordan five bugs!
distcomplete-tp,distcomplete-tp-sam-jordan-gave-9-candy.mp3,Look! Sam gave Jordan nine candies!
distcomplete-tp,distcomplete-tp-sam-jordan-gave-9-bug.mp3,Look! Sam gave Jordan nine bugs!
trialstart-tp,trialstart-tp-sam-skyler-candy.mp3,Here are Sam and Skyler! Sam's backpack has 10 candies inside and Skyler has none!
distprompt-tp,distprompt-tp-sam-skyler-candy.mp3,Let's see how many candies Sam gives to Skyler!
trialstart-tp,trialstart-tp-sam-skyler-bug.mp3,Here are Sam and Skyler! Sam's backpack has 10 bugs inside and Skyler has none!
distprompt-tp,distprompt-tp-sam-skyler-bug.mp3,Let's see how many bugs Sam gives to Skyler!
distcomplete-tp,distcomplete-tp-sam-skyler-gave-1-candy.mp3,Look! Sam gave Skyler one candy!
distcomplete-tp,distcomplete-tp-sam-skyler-gave-1-bug.mp3,Look! Sam gave Skyler one bug!
distcomplete-tp,distcomplete-tp-sam-skyler-gave-5-candy.mp3,Look! Sam gave Skyler five candies!
distcomplete-tp,distcomplete-tp-sam-skyler-gave-5-bug.mp3,Look! Sam gave Skyler five bugs!
distcomplete-tp,distcomplete-tp-sam-skyler-gave-9-candy.mp3,Look! Sam gave Skyler nine candies!
distcomplete-tp,distcomplete-tp-sam-skyler-gave-9-bug.mp3,Look! Sam gave Skyler nine bugs!
trialstart-tp,trialstart-tp-sam-mackenzie-candy.mp3,Here are Sam and Mackenzie! Sam's backpack has 10 candies inside and Mackenzie has none!
distprompt-tp,distprompt-tp-sam-mackenzie-candy.mp3,Let's see how many candies Sam gives to Mackenzie!
trialstart-tp,trialstart-tp-sam-mackenzie-bug.mp3,Here are Sam and Mackenzie! Sam's backpack has 10 bugs inside and Mackenzie has none!
distprompt-tp,distprompt-tp-sam-mackenzie-bug.mp3,Let's see how many bugs Sam gives to Mackenzie!
distcomplete-tp,distcomplete-tp-sam-mackenzie-gave-1-candy.mp3,Look! Sam gave Mackenzie one candy!
distcomplete-tp,distcomplete-tp-sam-mackenzie-gave-1-bug.mp3,Look! Sam gave Mackenzie one bug!
distcomplete-tp,distcomplete-tp-sam-mackenzie-gave-5-candy.mp3,Look! Sam gave Mackenzie five candies!
distcomplete-tp,distcomplete-tp-sam-mackenzie-gave-5-bug.mp3,Look! Sam gave Mackenzie five bugs!
distcomplete-tp,distcomplete-tp-sam-mackenzie-gave-9-candy.mp3,Look! Sam gave Mackenzie nine candies!
distcomplete-tp,distcomplete-tp-sam-mackenzie-gave-9-bug.mp3,Look! Sam gave Mackenzie nine bugs!
trialstart-tp,trialstart-tp-sam-casey-candy.mp3,Here are Sam and Casey! Sam's backpack has 10 candies inside and Casey has none!
distprompt-tp,distprompt-tp-sam-casey-candy.mp3,Let's see how many candies Sam gives to Casey!
trialstart-tp,trialstart-tp-sam-casey-bug.mp3,Here are Sam and Casey! Sam's backpack has 10 bugs inside and Casey has none!
distprompt-tp,distprompt-tp-sam-casey-bug.mp3,Let's see how many bugs Sam gives to Casey!
distcomplete-tp,distcomplete-tp-sam-casey-gave-1-candy.mp3,Look! Sam gave Casey one candy!
distcomplete-tp,distcomplete-tp-sam-casey-gave-1-bug.mp3,Look! Sam gave Casey one bug!
distcomplete-tp,distcomplete-tp-sam-casey-gave-5-candy.mp3,Look! Sam gave Casey five candies!
distcomplete-tp,distcomplete-tp-sam-casey-gave-5-bug.mp3,Look! Sam gave Casey five bugs!
distcomplete-tp,distcomplete-tp-sam-casey-gave-9-candy.mp3,Look! Sam gave Casey nine candies!
distcomplete-tp,distcomplete-tp-sam-casey-gave-9-bug.mp3,Look! Sam gave Casey nine bugs!
trialstart-tp,trialstart-tp-sam-shawn-candy.mp3,Here are Sam and Shawn! Sam's backpack has 10 candies inside and Shawn has none!
distprompt-tp,distprompt-tp-sam-shawn-candy.mp3,Let's see how many candies Sam gives to Shawn!
trialstart-tp,trialstart-tp-sam-shawn-bug.mp3,Here are Sam and Shawn! Sam's backpack has 10 bugs inside and Shawn has none!
distprompt-tp,distprompt-tp-sam-shawn-bug.mp3,Let's see how many bugs Sam gives to Shawn!
distcomplete-tp,distcomplete-tp-sam-shawn-gave-1-candy.mp3,Look! Sam gave Shawn one candy!
distcomplete-tp,distcomplete-tp-sam-shawn-gave-1-bug.mp3,Look! Sam gave Shawn one bug!
distcomplete-tp,distcomplete-tp-sam-shawn-gave-5-candy.mp3,Look! Sam gave Shawn five candies!
